fold,regime,system_id,parent_family,structure,hnf_group,environment_count,coverage_distance_mean,coverage_distance_median,coverage_distance_p90,coverage_distance_minimum,coverage_distance_maximum
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_46_H4C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_46_H4C8,4,300,2.352831004937259,2.444979961257528,2.806355501577594,1.0584922021532108,3.405192752700316
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_47_H4C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_47_H4C10,4,300,1.4336360242889832,1.6568688706154577,2.29794115584003,0.00679239770210411,2.831747804466671
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_48_H4C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_48_H4C12,4,360,2.442078036060556,2.4673897860529603,2.7343750348567673,1.6988222354217357,3.28416359287129
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_49_H4C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_49_H4C14,4,300,2.622081667921644,2.6037723025663677,3.0491904017157463,1.8096825317265763,3.369094327701567
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_01_H0C0__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_01_H0C0,0,60,2.736134738914221,2.762202655887278,2.8184428668577857,2.5911507217132512,2.818443916214002
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_02_H0C1__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_02_H0C1,0,60,2.696726120772014,2.723062923444175,2.889567313061879,2.549767994880301,2.889571504129044
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_03_H0C2__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_03_H0C2,0,60,2.6098075429323364,2.6345663410070923,2.7458374200125464,2.4459839060069775,2.74584382479306
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_04_H0C3__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_04_H0C3,0,60,2.7395962858492826,2.745001153547049,2.944268887566158,2.533772790049007,2.9442747693474254
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_05_H0C4__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_05_H0C4,0,60,2.500510424517034,2.5182880586008327,2.567116359931515,2.422391113348175,2.5671189444242932
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_06_H0C5__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_06_H0C5,0,60,2.5504515549861297,2.5739159963308564,2.6361808615519893,2.4285707106638332,2.636189360197688
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_07_H0C6__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_07_H0C6,0,60,2.9395309871645,2.9955030992126623,3.1000669867580632,2.77544555827725,3.1000769817272995
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_08_H0C7__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_08_H0C7,0,60,2.788403761071314,2.7613247873704445,2.931758779400797,2.66810457041631,2.943180327821836
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_09_H0C8__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_09_H0C8,0,60,2.7436788429866232,2.702376017985972,2.866631378408027,2.6847470414104055,2.866641419739813
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_10_H0C10__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_10_H0C10,0,60,2.8656739656111347,2.835831865205376,3.054230071894428,2.6364356636497304,3.0542321729053445
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_11_H0C12__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_11_H0C12,0,60,2.920115243592435,2.9286800399014856,3.086382362739239,2.7847147870551754,3.0863880475058547
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_12_H0C14__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_12_H0C14,0,60,2.8269933910462144,2.808929430868067,2.9716211507556674,2.7564378098870774,2.97163224895971
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_13_H1C0__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_13_H1C0,1,240,1.2687425167423294,1.269128227100044,1.5662897847569024,0.7103052846930983,1.8953535666559878
